Italiano,English
non,Not
di,Of
che,That
è,And
e,And
la,there
il,The
un,a
a,to
per,For
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
l',the
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,as
da,from
ci,There
no,no
questo,This
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,Well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,Alone
te,you
era,era
gli,The
tutto,All
della,from the
così,Like this
mia,my
ne,neither
questa,this
fare,Do
quando,when
ora,Now
fatto,Done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,everyone
molto,Very
dei,of the
anche,Also
detto,said
quello,that
va,it goes
niente,Nothing
grazie,Thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,Where
posso,I can
oh,Oh
prima,Before
allora,At that time
siamo,we are
d',d'
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want
ancora,Still
qualcosa,something
vero,True
casa,home
sia,is
su,on
tua,your
sempre,Always
forse,Perhaps
dire,to say
vi,you
loro,They
i',the'
altro,other
sai,you know
stai,you are
devo,I have to
quella,that
vita,life
quel,that
delle,from the
tempo,time
andare,go
certo,Certain
poi,Then
nella,in the
uomo,man
signore,Gentleman
ad,to
po',bit'
può,can
credo,I believe
voi,you
già,Already
adesso,Now
andiamo,let's go
anni,years
all',to
visto,view
fuori,out
proprio,own
parte,part
davvero,Really
vuole,wants
li,there
dell',of the
sto,I'm
quanto,How much
volta,time
via,Street
sul,on the
é,And
dio,God
sarà,will be
dopo,After
senza,without
cose,things
nessuno,Nobody
fai,you do
giorno,day
ed,and
meglio,Better
padre,father
puoi,you can
ciao,HI
cos',what is it
devi,you have to
ecco,Here you are
qualcuno,someone
dal,from the
lavoro,Work
sa,you know
ai,to the
vedere,see
ogni,every/each
ii,ii
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,Well
perchè,Why
vieni,You come
alle,at
dalla,from the
stata,was
tra,Between
vai,Go
ehi,Hey
miei,my
amico,Friend
dice,He says
sarebbe,would be
avete,you have
altra,other